Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Carex filifolia,Nutt.,C3,Boutton et al. (1980),,Carex,filifolia,,
Carex flava,L.,C3,Bruhl and Wilson (2007),-27.4,Carex,flava,,
Carex fraserianus,(Ker Gawl.) Kartesz and Gandhi,C3,Bruhl and Wilson (2007),,Carex,fraserianus,,
Carex grayi,J. Carey,C3,Hofstra et al. (1972),,Carex,grayi,,
Carex haydenii,Dewey,C3,Standley (1987a),,Carex,haydenii,,
Carex hermannii,Cochrane,C3,Standley (1987b),,Carex,hermannii,,
Carex indica,L.,C3,Bruhl and Wilson (2007),-27.8,Carex,indica,,
Carex inversa,R. Br.,C3,Bruhl and Wilson (2007),,Carex,inversa,,
Carex johnstonii,Boeck.,C3,Hesla et al. (1982),,Carex,johnstonii,,
Carex kobomugi,Ohwi,C3,Akita et al. (1969) Takeda et al. (1980),,Carex,kobomugi,,
Carex lacustris,Willd.,C3,Bender (1971),,Carex,lacustris,,
Carex lenticularis var. lenticularis,Michx.,C3,Standley (1987a) Standley (1990),,Carex,lenticularis,lenticularis,var.
Carex liparocarpos,Gaudin,C3,Kalapos et al. (1997),,Carex,liparocarpos,,
Carex maculata,Boott,C3,Bruhl and Wilson (2007),,Carex,maculata,,
Carex maritima,Gunnerus,C3,Bruhl and Wilson (2007),-26.9,Carex,maritima,,
Carex microglochin,Wahlenb.,C3,Kukkonen (1970),,Carex,microglochin,,
Carex monostachya,A. Rich.,C3,Hesla et al. (1982) Aucour et al. (1994),,Carex,monostachya,,
Carex neoguinensis,C. B. Clarke,C3,Hofstra et al. (1972) Bruhl and Wilson (2007),,Carex,neoguinensis,,
Carex nigra,(L.) Reichard,C3,Standley (1987a),,Carex,nigra,,
Carex obnupta,L. H. Bailey,C3,Standley (1990),,Carex,obnupta,,
Carex pachystylis,J. Gay,C3,Winter and Troughton (1978) Bruhl and Wilson (2007),-33.1,Carex,pachystylis,,
Carex peregrina,Link,C3,Hesla et al. (1982),,Carex,peregrina,,
Carex petitiana,A. Rich.,C3,Hesla et al. (1982),,Carex,petitiana,,
Carex pilulifera,L.,C3,Bruhl and Wilson (2007),,Carex,pilulifera,,
Carex polyantha,F. Muell.,C3,Bruhl and Wilson (2007),,Carex,polyantha,,
Carex rafflesiana,Boott,C3,Bruhl and Wilson (2007) Hofstra et al. (1972),,Carex,rafflesiana,,
Carex runssoroensis,K. Schum.,C3,Aucour et al. (1994) Hesla et al. (1982),,Carex,runssoroensis,,
Carex setifolia,Kunze ex Kunth,C3,Bruhl and Wilson (2007),,Carex,setifolia,,
