Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Eleocharis tricostata,Torr.,C3,Ueno et al. (1989),,Eleocharis,tricostata,,
Eleocharis tuberculosa,(Michx.) Roem. and Schult.,C3,Ueno et al. (1989) Bruhl and Wilson (2007),-30.1,Eleocharis,tuberculosa,,
Eleocharis tucumanensis,Barros,C3,Guaglianone et al. (1998),,Eleocharis,tucumanensis,,
Eleocharis uniglumis,(Link) Schult.,C3,Ueno et al. (1989),,Eleocharis,uniglumis,,
Eleocharis variegata,(Poir.) C. Presl,C3,Ueno et al. (1989),,Eleocharis,variegata,,
Eleocharis viridens,Kük.,C3,Ueno et al. (1989),,Eleocharis,viridens,,
Eleocharis vivipara,Link.,C4,Ueno et al. (1988a) Ueno et al. (1989) Ueno and Samejima (1990) Ueno (1996) Ueno (1998b) Soros and Dengler (2001),,Eleocharis,vivipara,,
Eleocharis vivipara,Link.,C3,Ueno (1996) Ueno (1998b) Ueno (2004),,Eleocharis,vivipara,,
Eleocharis vivipara,Link.,C4+,Ueno (1996) Ueno (1998b) Ueno (2004),,Eleocharis,vivipara,,
Eleocharis vivipara,Link.,C3+,Ueno et al. (1988a) Ueno and Samejima (1990),,Eleocharis,vivipara,,
Eleocharis wichurai,Boeck.,C3,Ueno and Takeda (1992),,Eleocharis,wichurai,,
Eleocharis wolfii,(A. Gray) A. Gray ex Britton,C3,Ueno et al. (1989),,Eleocharis,wolfii,,
Epischoenus adnatus,Levyns,C3,Bruhl and Wilson (2007),-27.3,Epischoenus,adnatus,,
Epischoenus cernuus,Levyns,C3,Bruhl and Wilson (2007),-24.73,Epischoenus,cernuus,,
Epischoenus complanatus,Levyns,C3,Bruhl and Wilson (2007),-26.21,Epischoenus,complanatus,,
Epischoenus dregeanus,(Boeck.) Levyns,C3,Bruhl and Wilson (2007),-24.45,Epischoenus,dregeanus,,
Epischoenus gracilis,Levyns,C3,Bruhl and Wilson (2007),,Epischoenus,gracilis,,
Epischoenus lucidus,(C. B. Clarke) Levyns,C3,Bruhl and Wilson (2007),-25.20,Epischoenus,lucidus,,
Epischoenus villosus,Levyns,C3,Bruhl and Wilson (2007),-22.07,Epischoenus,villosus,,
Eriophorum angustifolium,Honckeny,C3,Bender (1971) Bruhl and Wilson (2007),,Eriophorum,angustifolium,,
Eriophorum comosum,(Wall.) Wall. ex Nees,C3,Sharma (1973) Bruhl and Wilson (2007),,Eriophorum,comosum,,
Eriophorum latifolium,Hoppe,C3,Bruhl and Wilson (2007),-29.6,Eriophorum,latifolium,,
Eriophorum microstachyum,Boeck.,C3,Bruhl and Wilson (2007),,Eriophorum,microstachyum,,
Eriophorum virginicum,L.,C3,Bruhl and Wilson (2007),,Eriophorum,virginicum,,
Evandra aristata,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-28.5,Evandra,aristata,,
Evandra pauciflora,R. Br.,C3,Bruhl and Wilson (2007),,Evandra,pauciflora,,
Everardia montana,Ridl.,C3,Bruhl and Wilson (2007),-28.2,Everardia,montana,,
Everardia montana subsp. duidae,(Gilly) T. Koyama and Maguire,C3,Bruhl and Wilson (2007),,Everardia,montana,duidae,subsp.
Exocarya sclerioides,(F. Muell.) Benth.,C3,Koyama (1967) Takeda et al. (1985) Bruhl and Wilson (2007),,Exocarya,sclerioides,,
Exochogyne amazonica,C. B. Clarke,C3,Bruhl and Wilson (2007),-26.9,Exochogyne,amazonica,,
Ficinia acuminata,(Nees) Nees,C3,Bruhl and Wilson (2007),-25.40,Ficinia,acuminata,,
Ficinia angustifolia,C. B. Clarke,C3,Bruhl and Wilson (2007),-24.20,Ficinia,angustifolia,,
Ficinia capillifolia,C. B. Clarke,C3,Bruhl and Wilson (2007),,Ficinia,capillifolia,,
Ficinia elongata,Boeck.,C3,Bruhl and Wilson (2007),,Ficinia,elongata,,
Ficinia fascicularis,Nees,C3,Bruhl and Wilson (2007),,Ficinia,fascicularis,,
Ficinia filiformis,(Lam.) Schrad.,C3,Hesla et al. (1982),,Ficinia,filiformis,,
Ficinia gracilis,(Poir.) Schrad.,C3,Hesla et al. (1982),,Ficinia,gracilis,,
Ficinia gydomontana,Arnold,C3,Bruhl and Wilson (2007),-21.20,Ficinia,gydomontana,,
Ficinia indica,(Lam.) H. Pfeiff.,C3,Bruhl and Wilson (2007),-26.8,Ficinia,indica,,
Ficinia nodosa,(Rottb.) Goetgh. A. M. Muasya and D. A. Simpson,C3,Takeda et al. (1985),,Ficinia,nodosa,,
Ficinia pallens var. lithosperma,(Schrad.) Nees (Boeck.) Arnold,C3,Bruhl and Wilson (2007),,Ficinia,pallens,lithosperma,var.
Ficinia radiata,(L.) Kunth,C3,Bruhl and Wilson (2007),,Ficinia,radiata,,
Ficinia stolonifera,Boeck.,C3,Bruhl and Wilson (2007),-25.31,Ficinia,stolonifera,,
Fimbristylis acicularis,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,acicularis,,
Fimbristylis acuminata,Vahl,C4,Takeda et al. (1985),,Fimbristylis,acuminata,,
Fimbristylis aestivalis,(Retz.) Vahl,C4,Akita et al. (1969) Kuoh and Chiang (1984) Takeda et al. (1985) Bruhl et al. (1987) Ehleringer (1987),,Fimbristylis,aestivalis,,
Fimbristylis annua,(Allioni) Roem. and Schult.,C4,Ehleringer et al. (1987),,Fimbristylis,annua,,
Fimbristylis aphylla,Steud.,C4,Bruhl and Wilson (2007),-12.7,Fimbristylis,aphylla,,
Fimbristylis autumnalis,(L.) Roem. and Schult.,C4,Ueno and Takeda (1992),,Fimbristylis,autumnalis,,
Fimbristylis bisumbellata,(Forsk.) Bubani,C4,Hesla et al. (1982) Takeda et al. (1985) Ueno and Takeda (1992),,Fimbristylis,bisumbellata,,
Fimbristylis bivalvis,(Lam.) K. Lye,C4,(-10.05 Rogers,,Fimbristylis,bivalvis,,
Fimbristylis caespitosa,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,caespitosa,,
Fimbristylis caroliniana,(Lam.) Fernald,C4,Brown (1975),,Fimbristylis,caroliniana,,
Fimbristylis cephalophora,F. Muell.,C4,Takeda et al. (1985),,Fimbristylis,cephalophora,,
Fimbristylis compacta,Turrill,C4,Takeda et al. (1985),,Fimbristylis,compacta,,
Fimbristylis complanata,(Retz.) Link,C4,Sharma and Mehra (1972) Hesla et al. (1982),,Fimbristylis,complanata,,
Fimbristylis consanguinea,Kunth,C4,Hofstra et al. (1972),,Fimbristylis,consanguinea,,
Fimbristylis corynocarya,F. Muell.,C4,Takeda et al. (1985),,Fimbristylis,corynocarya,,
Fimbristylis cymosa,R. Br.,C4,Hofstra et al. (1972) Prakash et al. (1976),,Fimbristylis,cymosa,,
Fimbristylis densa,S. T. Blake,C4,Takeda et al. (1985),,Fimbristylis,densa,,
Fimbristylis denudata,R. Br.,C4,Takeda et al. (1985) Bruhl et al. (1987),,Fimbristylis,denudata,,
Fimbristylis depauperata,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,depauperata,,
Fimbristylis dichotoma,(L.) Vahl,C4,Hattersley et al. (1977) (Af. B []) Gilliland and Gordon-Gray (1978),,Fimbristylis,dichotoma,,
Fimbristylis diphylloides,Makino,C4,Ueno et al. (1986) Ueno and Takeda (1992),,Fimbristylis,diphylloides,,
Fimbristylis dipsacea,(Rottb.) C. B. Clarke subsp.,C4,Ueno et al. (1986),,Fimbristylis,dipsacea,,
Fimbristylis ferruginea,(L.) Vahl,C4,Hofstra et al. (1972),,Fimbristylis,ferruginea,,
Fimbristylis fimbristyloides,(F. Muell.) Druce,C4,Ueno and Takeda (1992),,Fimbristylis,fimbristyloides,,
Fimbristylis furva,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,furva,,
Fimbristylis hirsutifolia,Govindarajalu,C4,Govindarajalu (1990a),,Fimbristylis,hirsutifolia,,
Fimbristylis kadzusana,Ohuai,C4,Ueno and Takeda (1992),,Fimbristylis,kadzusana,,
Fimbristylis leptoclada,Benth.,C4,Ueno and Takeda (1992),,Fimbristylis,leptoclada,,
Fimbristylis leucocolea,Benth.,C4,Takeda et al. (1985),,Fimbristylis,leucocolea,,
Fimbristylis littoralis,Gaud.,C4,Akita et al. (1969) Carolin et al. (1977) Takeda et al. (1980) Takeda et al. (1985) Ueno et al. (1986),,Fimbristylis,littoralis,,
Fimbristylis microcarya,F. Muell.,C4,Takeda et al. (1985),,Fimbristylis,microcarya,,
Fimbristylis miliacea,(L.) Vahl,C4,Hofstra et al. (1972) Meinzer (1987) Hesla et al. (1982) Kuoh and Chiang (1984) Lin et al. (1993),,Fimbristylis,miliacea,,
Fimbristylis nelmesii,Kern,C4,Bruhl and Wilson (2007),,Fimbristylis,nelmesii,,
Fimbristylis nuda,Boeck.,C4,Takeda et al. (1985),,Fimbristylis,nuda,,
Fimbristylis nutans,(Retz.) Vahl,C4,Takeda et al. (1985) Ueno and Takeda (1992),,Fimbristylis,nutans,,
Fimbristylis obtusifolia,(Lam.) Kunth,C4,Bruhl and Wilson (2007),-13.0,Fimbristylis,obtusifolia,,
Fimbristylis oligocephala,W. V. Fitzg.,C4,Takeda et al. (1985),,Fimbristylis,oligocephala,,
Fimbristylis pallida,S. T. Blake,C4,Takeda et al. (1985),,Fimbristylis,pallida,,
Fimbristylis pauciflora,R. Br.,C4,Takeda et al. (1985) Ueno and Takeda (1992),,Fimbristylis,pauciflora,,
Fimbristylis phaeoleuca,S. T. Blake,C4,Takeda et al. (1985),,Fimbristylis,phaeoleuca,,
Fimbristylis pierotii,Miq.,C4,Ueno and Takeda (1992),,Fimbristylis,pierotii,,
Fimbristylis pilosa,Vahl,C4,Bruhl and Wilson (2007),-12.1,Fimbristylis,pilosa,,
Fimbristylis polytrichoides,(Retz.) R. Br.,C4,Hesla et al. (1982) Kuoh and Chiang (1984) Takeda et al. (1985) Bruhl et al. (1987) Bruhl and Wilson (2007),-11.1 -11.6 -11.7 -15.3,Fimbristylis,polytrichoides,,
Fimbristylis pseudomicrocarya,Govindarajalu,C4,Govindarajalu (1990a),,Fimbristylis,pseudomicrocarya,,
Fimbristylis pterygosperma,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,pterygosperma,,
Fimbristylis punctata,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,punctata,,
Fimbristylis rara,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,rara,,
Fimbristylis recta,F. M. Bailey,C4,Takeda et al. (1985),,Fimbristylis,recta,,
Fimbristylis scabrida,Schum. and Thonn.,C4,Bruhl and Wilson (2007),-13.2,Fimbristylis,scabrida,,
Fimbristylis schoenoides,(Retz.) Vahl,C4,Takeda et al. (1985) Ehleringer et al.  (1987),,Fimbristylis,schoenoides,,
Fimbristylis schultzii,Boeck.,C4,Takeda et al. (1985),,Fimbristylis,schultzii,,
Fimbristylis sericea,R. Br.,C4,Ueno and Takeda (1992) Ueno et al. (1986) Bruhl and Wilson (2007),,Fimbristylis,sericea,,
Fimbristylis sieboldii,Miq.,C4,Kuoh and Chiang (1984) Ueno et al. (1986) Ueno and Takeda (1992),,Fimbristylis,sieboldii,,
Fimbristylis solidifolia,F. Muell.,C4,Takeda et al. (1985),,Fimbristylis,solidifolia,,
Fimbristylis sp.,,C4,Carolin et al. (1977),,Fimbristylis,sp.,,
Fimbristylis sphaerocephala,Benth.,C4,Takeda et al. (1985),,Fimbristylis,sphaerocephala,,
Fimbristylis splendida,C. B. Clarke,C4,Bruhl and Wilson (2007),-11.6,Fimbristylis,splendida,,
Fimbristylis squarrosa subsp. squarrosa,Vahl (Vahl) T. Koyama,C4,Takeda et al. (1985) Ueno et al. (1986) Ueno and Takeda (1992),,Fimbristylis,squarrosa,squarrosa,subsp.
Fimbristylis stauntonii subsp. tonensis,Debeaux and Franch. (Makino) T. Koyama,C4,Ueno and Takeda (1992),,Fimbristylis,stauntonii,tonensis,subsp.
Fimbristylis subbispicata,Nees and Meyen ex Nees,C4,Kuoh and Chiang (1984) Ueno et al. (1986) Ueno et al. (1988b) Ueno and Takeda (1992),,Fimbristylis,subbispicata,,
Fimbristylis tenera,Schult.,C4,Sabnis (1921),,Fimbristylis,tenera,,
Fimbristylis tetragona,R. Br.,C4,Carolin et al. (1977) Takeda et al. (1985) Bruhl et al. (1987) Bruhl and Perry (1995),,Fimbristylis,tetragona,,
Fimbristylis trachycarya,F. Muell.,C4,Takeda et al. (1985),,Fimbristylis,trachycarya,,
Fimbristylis trigastrocarya,F. Muell.,C4,Takeda et al. (1985),,Fimbristylis,trigastrocarya,,
Fimbristylis tristachya,R. Br.,C4,Takeda et al. (1985) Bruhl and Wilson (2007),-12.1,Fimbristylis,tristachya,,
Fimbristylis uliginosa,Hochst. ex Steud.,C4,Raghavendra and Das (1976),,Fimbristylis,uliginosa,,
Fimbristylis umbellaris,(Lam.) Vahl,C4,Kuoh and Chiang (1984) Ueno et al. (1992),,Fimbristylis,umbellaris,,
Fimbristylis variegata,Gordon-Gray,C3,Bruhl and Wilson (2007),,Fimbristylis,variegata,,
Fimbristylis velata,R. Br.,C4,Carolin et al. (1977) Bruhl et al. (1987),,Fimbristylis,velata,,
Fimbristylis xyridis,R. Br.,C4,Takeda et al. (1985),,Fimbristylis,xyridis,,
Fuirena ciliaris,(L.) Roxb.,C3,Govindarajalu (1969a) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),-26.63,Fuirena,ciliaris,,
Fuirena glomerata,Lam.,C3,Takeda et al. (1985),,Fuirena,glomerata,,
Fuirena incrassata,S. T. Blake,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Fuirena,incrassata,,
Fuirena leptostachya,Oliv.,C3,Hesla et al. (1982),,Fuirena,leptostachya,,
Fuirena leptostachya var. nudiflora,Oliv. C. B. Clarke,C3,Bruhl and Wilson (2007),-26.81,Fuirena,leptostachya,nudiflora,var.
Fuirena obcordata,P. L. Forbes,C3,Bruhl and Wilson (2007),-26.03,Fuirena,obcordata,,
Fuirena ochreata,Kunth,C3,Hesla et al. (1982),,Fuirena,ochreata,,
Fuirena pachyrrhiza,Ridl.,C3,Hesla et al. (1982) Bruhl and Wilson (2007),-25.04,Fuirena,pachyrrhiza,,
Fuirena pubescens,(Poir.) Kunth,C3,Hesla et al. (1982) Bruhl and Wilson (2007),-26.8,Fuirena,pubescens,,
Fuirena pubescens var. pergamentacea,(Poir.) Kunth Fisch.,C3,Govindarajalu (1969a),,Fuirena,pubescens,pergamentacea,var.
Fuirena simplex,Vahl,C3,Bruhl and Wilson (2007),-28.9 -34.3,Fuirena,simplex,,
Fuirena squarrosa,Michx.,C3,Bruhl and Wilson (2007),,Fuirena,squarrosa,,
Fuirena stricta,Steud.,C3,Hesla et al. (1982) Ellery et al. (1992) Bruhl and Wilson (2007),-25.68,Fuirena,stricta,,
Fuirena umbellata,Rottb.,C3,Govindarajalu (1969a) Hesla et al. (1982) Takeda et al. (1985) Bruhl et al. (1987) Bruhl and Wilson (2007),-25.07,Fuirena,umbellata,,
Fuirena uncinata,Kunth,C3,Govindarajalu (1969a),,Fuirena,uncinata,,
Fuirena wallichiana,Kunth,C3,Govindarajalu (1969a),,Fuirena,wallichiana,,
Fuirena zambesiaca,K. Lye,C3,Hesla et al. (1982),,Fuirena,zambesiaca,,
Gahnia aspera,(R. Br.) Spreng.,C3,Takeda et al. (1985),,Gahnia,aspera,,
Gahnia baniensis,Benl,C3,Bruhl and Wilson (2007),-28.3,Gahnia,baniensis,,
Gahnia clarkei,Benl,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Gahnia,clarkei,,
Gahnia deusta,(R. Br.) Benth.,C3,Takeda et al. (1985),,Gahnia,deusta,,
Gahnia erythrocarpa,R. Br.,C3,Bruhl and Wilson (2007),,Gahnia,erythrocarpa,,
Gahnia howeana,R. O. Gardner,C3,Bruhl and Wilson (2007),,Gahnia,howeana,,
Gahnia javanica,Zoll. and Mor. ex Mor.,C3,Hofstra et al. (1972),,Gahnia,javanica,,
Gahnia lacera,(A. Rich.) Steud.,C3,Troughton et al. (1974),,Gahnia,lacera,,
Gahnia lanigera,(R. Br.) Benth.,C3,Takeda et al. (1985),,Gahnia,lanigera,,
Gahnia melanocarpa,R. Br.,C3,Takeda et al. (1985),,Gahnia,melanocarpa,,
Gahnia procera,J. R. Forst. and G. Forst.,C3,Betts (1920),,Gahnia,procera,,
Gahnia radula,(R. Br.) Benth.,C3,Takeda et al. (1985),,Gahnia,radula,,
Gahnia sieberiana,Kunth,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Gahnia,sieberiana,,
Gahnia subaequiglumis,S. T. Blake,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Gahnia,subaequiglumis,,
Gahnia trifida,Labill.,C3,Takeda et al. (1985),,Gahnia,trifida,,
Gymnoschoenus anceps,(R. Br.) Nees,C3,Bruhl and Wilson (2007),,Gymnoschoenus,anceps,,
Gymnoschoenus sphaerocephalus,(R. Br.) Hook. f.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Gymnoschoenus,sphaerocephalus,,
Hellmuthia membranacea,(Thunb.) Haines and K. Lye,C3,Bruhl and Wilson (2007),,Hellmuthia,membranacea,,
Hypolytrum bullatum,C. B. Clarke,C3,Alves et al. (2002),,Hypolytrum,bullatum,,
Hypolytrum compactum,Nees and Mey. ex Kunth,C3,Bruhl and Wilson (2007),,Hypolytrum,compactum,,
Hypolytrum glaziovii,Boeck.,C3,Alves et al. (2002),,Hypolytrum,glaziovii,,
Hypolytrum heteromorphum,Nelmes,C3,Bruhl and Wilson (2007),-29.5 -36.3,Hypolytrum,heteromorphum,,
Hypolytrum jenmanii,C. B. Clarke,C3,Koyama (1967),,Hypolytrum,jenmanii,,
Hypolytrum lancifolium,C. B. Clarke,C3,Bruhl and Wilson (2007),-36.0,Hypolytrum,lancifolium,,
Hypolytrum longifolium,(Rich.) Nees,C3,Alves et al. (2002),,Hypolytrum,longifolium,,
Hypolytrum longifolium subsp. rubescens,(Rich.) Nees (C. B. Clarke) T. Koyama,C3,Koyama (1967),,Hypolytrum,longifolium,rubescens,subsp.
Hypolytrum nemorum,(Vahl) Spreng.,C3,Hofstra et al. (1972) Takeda et al. (1985) Ehleringer et al. (1987) Bruhl and Wilson (2007),,Hypolytrum,nemorum,,
Hypolytrum nudum,C. B. Clarke,C3,Koyama (1967),,Hypolytrum,nudum,,
Hypolytrum pulchrum,(Rudge) H. Pfeiff.,C3,Koyama (1967) Alves et al. (2002) Bruhl and Wilson (2007),-31.7,Hypolytrum,pulchrum,,
Hypolytrum rigens,Nees,C3,Alves et al. (2002),,Hypolytrum,rigens,,
Hypolytrum schraderianum,Nees,C3,Alves et al. (2002),,Hypolytrum,schraderianum,,
Hypolytrum sp.,,C3,Alves et al. (2002),,Hypolytrum,sp.,,
Hypolytrum sphaerostachyum,Boeck.,C3,Alves et al. (2002),,Hypolytrum,sphaerostachyum,,
Hypolytrum stemonifolium,T. Koyama,C3,Alves et al. (2002),,Hypolytrum,stemonifolium,,
Hypolytrum strictum,Poepp. ex Kunth,C3,Koyama (1967),,Hypolytrum,strictum,,
Hypolytrum verticillatum,T. Koyama,C3,Alves et al. (2002),,Hypolytrum,verticillatum,,
Isolepis cernua,(Vahl) Roem. and Schult.,C3,Troughton et al. (1974) Takeda et al. (1985) Bruhl and Wilson (2007),-27.3,Isolepis,cernua,,
Isolepis costata,Hochst. ex A. Rich.,C3,Hesla et al. (1982) Bruhl and Wilson (2007),-29.6,Isolepis,costata,,
Isolepis crassiuscula,Hook. f.,C3,Bruhl and Wilson (2007),,Isolepis,crassiuscula,,
Isolepis fluitans,(L.) R. Br.,C3,Govindarajalu (1976) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),-29.7 -25.71,Isolepis,fluitans,,
Isolepis graminoides,(R. Haines and K. Lye) K. Lye,C3,Hesla et al. (1982),,Isolepis,graminoides,,
Isolepis habra,(Edgar) Soják,C3,Bruhl and Wilson (2007),,Isolepis,habra,,
Isolepis hystrix,(Thunb.) Nees,C3,Bruhl and Wilson (2007),-24.1,Isolepis,hystrix,,
Isolepis inundata,R. Br.,C3,Takeda et al. (1985),,Isolepis,inundata,,
Isolepis marginata,(Thunb.) A. Dietr.,C3,Takeda et al. (1985),,Isolepis,marginata,,
Isolepis platycarpa,(S. T. Blake) Soják,C3,Takeda et al. (1985),,Isolepis,platycarpa,,
Isolepis prolifera,(Rottb.) R. Br.,C3,Bruhl and Wilson (2007),-26.8 -34.8,Isolepis,prolifera,,
Isolepis sepulcralis,Steud.,C3,Hesla et al. (1982) Bruhl and Wilson (2007),-27.1,Isolepis,sepulcralis,,
Karinia mexicana,(Vill.) Fiori,C3,Bruhl and Wilson (2007),,Karinia,mexicana,,
Khaosokia caricoides,Simpson et al.,C3,Simpson et al. (2005) Bruhl and Wilson (2007),,Khaosokia,caricoides,,
Kobresia laxa,Nees,C3,Sharma and Mehra (1970),,Kobresia,laxa,,
Kobresia myosuroides,(Vill.) Fiori,C3,Bruhl and Wilson (2007),-25.9,Kobresia,myosuroides,,
Kobresia nitens,C. B. Clarke,C3,Sharma and Mehra (1970),,Kobresia,nitens,,
Koyamaea neblinensis,W. W. Thomas and G. Davidse,C3,Bruhl and Wilson (2007),,Koyamaea,neblinensis,,
Kyllinga alata,Nees,C4,Getliffe Norris (1983),,Kyllinga,alata,,
Kyllinga alba,Nees,C4,Hesla et al. (1982),,Kyllinga,alba,,
Kyllinga auroealata,(K. Lye) ined.,C4,Hesla et al. (1982),,Kyllinga,auroealata,,
Kyllinga brevifolia,Rottb.,C4,Akita et al. (1969) Govindarajalu (1969b) Carolin et al. (1977) Gilliland and Gordon-Gray (1978) Getliffe Norris (1983) Takeda et al. (1985) Li (1993) Bruhl et al. (1987) Lin et al. (1993) Bruhl and Wilson (2007),-10.4 -10.8,Kyllinga,brevifolia,,
Kyllinga brevifolia subsp. leiolepis,Rottb. (Franch. And Sav.) T. Koyama,C4,Ueno and Takeda (1992),,Kyllinga,brevifolia,leiolepis,subsp.
Kyllinga bulbosa,P. Beauv.,C4,Hesla et al. (1982),,Kyllinga,bulbosa,,
Kyllinga cartilaginea,K. Schum.,C4,Hesla et al. (1982),,Kyllinga,cartilaginea,,
Kyllinga chrysantha,K. Schum.,C4,Hesla et al. (1982),,Kyllinga,chrysantha,,
Kyllinga crassipes,Boeck.,C4,Hesla et al. (1982),,Kyllinga,crassipes,,
Kyllinga elata,Steud.,C4,Hesla et al. (1982),,Kyllinga,elata,,
Kyllinga elatior,Kunth,C4,Gilliland and Gordon-Gray (1978) Hesla et al. (1982) Getliffe Norris. (1983) Bruhl and Wilson (2007),-10.31,Kyllinga,elatior,,
Kyllinga erecta,C. B. Clarke,C4,Hesla et al. (1982) Getliffe Norris (1983) Bruhl and Wilson (2007),,Kyllinga,erecta,,
Kyllinga intermedia,R. Br.,C4,Bruhl and Wilson (2007),,Kyllinga,intermedia,,
Kyllinga intricata,Cherm.,C4,Hesla et al. (1982),,Kyllinga,intricata,,
Kyllinga comosipes,(Mattf. and Kük.) Napper,C4,Hesla et al. (1982),,Kyllinga,comosipes,,
Kyllinga melanosperma subsp. bifolius,Nees (Miq.) ined.,C4,Govindarajalu (1969b),,Kyllinga,melanosperma,bifolius,subsp.
Kyllinga microstyla,C. B. Clarke,C4,Hesla et al. (1982),,Kyllinga,microstyla,,
Kyllinga nemoralis,(Forst. and Forst. f.) Dandy ex Hutch. and Dalziel ,C4,Govindarajalu (1969b) Hofstra et al. (1972) Getliffe Norris (1983a) Bruhl and Wilson (2007),-14.4 -14.6 -9.53,Kyllinga,nemoralis,,
Kyllinga nervosa,Steud.,C4,Hesla et al. (1982) McNaughton et al. (1983),,Kyllinga,nervosa,,
Kyllinga odorata,Vahl,C4,Govindarajalu (1969b) Hesla et al. (1982) Hesla et al. (1982) Getliffe Norris (1983) Bruhl and Wilson (2007),-13.6,Kyllinga,odorata,,
Kyllinga pauciflora,Ridl.,C4,Getliffe Norris (1983),,Kyllinga,pauciflora,,
Kyllinga polyphylla,Willd. ex Kunth,C4,Prakash et al. (1976) Hesla et al. (1982) Getliffe Norris (1983) Bruhl et al. (1987) Bruhl and Wilson (2007),-11.1 -11.2,Kyllinga,polyphylla,,
Kyllinga pulchella,Kunth,C4,Hesla et al. (1982) Getliffe Norris (1983) Bruhl and Wilson (2007),-9.99,Kyllinga,pulchella,,
Kyllinga pumila,Michx.,C4,Hesla et al. (1982) Li et al. (1999),,Kyllinga,pumila,,
Kyllinga tenuifolia,Steud.,C4,Govindarajalu (1969b) Raghavendra and Das (1976),,Kyllinga,tenuifolia,,
Kyllinga welwitschii,Ridl.,C4,Hesla et al. (1982),,Kyllinga,welwitschii,,
Kyllingiella microcephala,(Steud.) Haines and K. Lye,C3,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-29.3,Kyllingiella,microcephala,,
Kyllingiella polyphylla,(A. Rich.) K. Lye,C3,Bruhl and Wilson (2007),-27.3,Kyllingiella,polyphylla,,
Lagenocarpus guianensis,Nees,C3,Bruhl and Wilson (2007),,Lagenocarpus,guianensis,,
Lagenocarpus rigidus,(Kunth) Nees,C3,Bruhl and Wilson (2007),-27.7,Lagenocarpus,rigidus,,
Lagenocarpus verticillatus,(Spreng.) T. Koyama and Maguire,C3,Bruhl and Wilson (2007),,Lagenocarpus,verticillatus,,
Lepidosperma aphyllum,R. Br.,C3,Bruhl and Wilson (2007),,Lepidosperma,aphyllum,,
Lepidosperma avium,K. L. Wilson,C3,Bruhl and Wilson (2007),,Lepidosperma,avium,,
Lepidosperma brunonianum,Nees,C3,Bruhl and Wilson (2007),,Lepidosperma,brunonianum,,
Lepidosperma canescens,Boeck.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,canescens,,
Lepidosperma carphoides,F. Muell. ex Benth.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,carphoides,,
Lepidosperma concavum,R. Br.,C3,Bruhl and Wilson (2007),,Lepidosperma,concavum,,
Lepidosperma congestum,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,congestum,,
Lepidosperma costale,Nees,C3,Bruhl and Wilson (2007),,Lepidosperma,costale,,
Lepidosperma curtisiae,K. L. Wilson and D. I. Morris,C3,Bruhl and Wilson (2007),,Lepidosperma,curtisiae,,
Lepidosperma drummondii,Benth.,C3,Bruhl and Wilson (2007),,Lepidosperma,drummondii,,
Lepidosperma effusum,Benth.,C3,Bruhl and Wilson (2007),,Lepidosperma,effusum,,
Lepidosperma elatius,Labill.,C3,Bruhl and Wilson (2007),,Lepidosperma,elatius,,
Lepidosperma ensiforme,(Rodway) D. I. Morris,C3,Bruhl and Wilson (2007),,Lepidosperma,ensiforme,,
Lepidosperma evansianum,K. L. Wilson,C3,Bruhl and Wilson (2007),,Lepidosperma,evansianum,,
Lepidosperma filiforme,Labill.,C3,Bruhl and Wilson (2007),,Lepidosperma,filiforme,,
Lepidosperma forsythii,A. A. Hamilton,C3,Bruhl and Wilson (2007),,Lepidosperma,forsythii,,
Lepidosperma gladiatum,Labill.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,gladiatum,,
Lepidosperma gracile,R. Br.,C3,Bruhl and Wilson (2007),,Lepidosperma,gracile,,
Lepidosperma gunnii,Boeck.,C3,Bruhl and Wilson (2007),,Lepidosperma,gunnii,,
Lepidosperma inops,Rodway ex F. Muell.,C3,Bruhl and Wilson (2007) Bruhl and Wilson (2007),,Lepidosperma,inops,,
Lepidosperma latens,K. L. Wilson,C3,Bruhl and Wilson (2007),,Lepidosperma,latens,,
Lepidosperma laterale,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,laterale,,
