Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,long_name,CITEKEYS
,Amaranthaceae,Salsoloideae,Salsoleae,,Haloxylon,periscum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Hammada,salicornica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Canarosalsola,divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,setifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,drummondii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,rosmarinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,foliosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,kerneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,zygophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,stocksii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,zygophylloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Noaea,major,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Noaea,minuta,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Noaea,mucronata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Rhaphydophyton,regelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
